Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer
KNOWLEDGE,It is the environment in which the search takes place. It consists of a set of states and a set of operators that change those states,What is a problem space in the search process?,What is a problem instance in the search process?,What is a problem space graph in the search process?,What is the depth of a problem in the search process?,What is a problem space in the search process?
KNOWLEDGE,It is the initial state plus goal state.,What is a problem space in the search process?,What is a problem instance in the search process?,What is the depth of a problem in the search process?,What is a problem space graph in the search process?,What is a problem instance in the search process?
KNOWLEDGE,It is the length of the shortest path or the shortest sequence of operators from the initial state to the goal state.,What is a problem space in the search process?,What is a problem instance in the search process?,What is the depth of a problem in the search process?,What is a problem space graph in the search process?,What is the depth of a problem in the search process?
KNOWLEDGE,It is a search process that starts at the root of the tree and explores as far as possible along each branch before backtracking. It tries to get as deep as possible as fast as possible,What is sequential search?,What is binary search?,What is breadth-first search?,What is depth-first search?,What is depth-first search?
KNOWLEDGE,It is an exhaustive search algorithm that explores a search tree level by level starting from the root guaranteeing that if a solution exists it will eventually be found given enough time and space.,What is breadth-first search?,What is sequential search?,What is binary search?,What is depth-first search?,What is breadth-first search?
KNOWLEDGE,It is a heuristic search algorithm where only one candidate the current state is kept at a time and at each step the algorithm moves to the best successor according to a fitness function aiming to reach an optimum,What is sequential search?,What is hill-climbing?,What is binary search?,What is depth-first search?,What is hill-climbing?
KNOWLEDGE,It is a heuristic search algorithm used to find the shortest path in a graph. It combines the cost of the path so far with a heuristic estimate of the remaining cost to guide the search efficiently toward the goal.,What is depth-first search?,What is hill-climbing?,What is the A* algorithm?,What is breadth-first search?,What is the A* algorithm?
KNOWLEDGE,It is a directed graph that represents all possible games of a given type where nodes correspond to states of the game and arcs represent possible moves by players,What is a game board in artificial intelligence?,What is a static evaluation in artificial intelligence?,What is a search algorithm in artificial intelligence?,What is a game tree in artificial intelligence?,What is a game tree in artificial intelligence?
KNOWLEDGE,It is a search procedure for two-player games where one player the maximizer tries to maximize gains while the other the minimizer tries to minimize losses using depth-first depth-limited search with evaluation of successor positions,What is the minimax strategy in game playing?,What is a game tree in game playing?,What is an alpha-beta pruning method in game playing?,What is a plausible move generator in game playing?,What is the minimax strategy in game playing?
KNOWLEDGE,It is a modified minimax strategy that uses two threshold values lower bound for maximizer and upper bound for minimizer to cut off branches of the game tree that cannot affect the final decision making the search more efficient,What is the minimax strategy in game playing?,What is alpha-beta pruning in game playing?,What is a static evaluation function in game playing?,What is a game tree in game playing?,What is alpha-beta pruning in game playing?
COMPREHENSION,The breadth-first search explores nodes level by level ensuring the shallowest solution is found.,What is the main advantage of depth-first search compared to breadth-first search?,How does breadth-first search organize its exploration of nodes?,Why does breadth-first search risk going into infinite loops?,What makes heuristic search better than breadth-first search?,How does breadth-first search organize its exploration of nodes?
COMPREHENSION,Depth-first search uses less memory because it stores only the current path giving it space complexity O(d).,Why does breadth-first search require more memory?,How does depth-first search manage space efficiency?,What is the advantage of heuristic search over exhaustive search?,How is a game tree represented?,How does depth-first search manage space efficiency?
COMPREHENSION,Heuristic search uses rules of thumb heuristics to guide decision-making improving efficiency compared to blind search.,What is the main purpose of a heuristic in search algorithms?,Why is breadth-first considered an exhaustive method?,How does depth-first search store nodes?,What does alpha-beta pruning attempt to reduce?,What is the main purpose of a heuristic in search algorithms?
COMPREHENSION,The minimax strategy models two-player games where one player maximizes gains and the other minimizes losses.,What is the role of a static evaluation function in games?,How does the minimax strategy define player objectives?,What problem does the horizon effect cause?,Why is beam search considered a heuristic method?,How does the minimax strategy define player objectives?
COMPREHENSION,Alpha-beta pruning reduces the number of game states examined cutting the minimax search nearly in half.,What is the main limitation of breadth-first search?,How does alpha-beta pruning improve over minimax?,Why is backtracking used in heuristic search?,What is the difference between static and dynamic evaluation?,How does alpha-beta pruning improve over minimax?
COMPREHENSION,The horizon effect happens when a search cannot see far enough ahead misjudging the true consequences of moves.,What is the horizon effect in computer game playing programs?,What is the function of a plausible move generator?,How does hill climbing differ from best-first search?,Why is minimax called a depth-first search method?,What is the horizon effect in computer game playing programs?
COMPREHENSION,A game tree is a directed graph where nodes represent states of the game and arcs represent possible moves.,How is a game tree represented in AI?,Why does breadth-first search consume so much memory?,What type of problem is solved with unification?,How is time complexity defined for heuristic search?,How is a game tree represented in AI?
COMPREHENSION,A plausible move generator narrows down the number of moves considered by selecting only reasonable options.,Why does breadth-first search expand all nodes at one level?,How does alpha-beta pruning eliminate redundant states?,What is the role of a plausible move generator in game playing?,Why is depth-first search preferred for memory efficiency?,What is the role of a plausible move generator in game playing?
COMPREHENSION,Breadth-first search guarantees finding the solution with the minimum number of steps if one exists.,Why is the minimax algorithm exponential in complexity?,What distinguishes backtracking from exhaustive search?,How does beam search reduce search space?,What makes breadth-first search suitable for finding optimal solutions in fewer steps?,What makes breadth-first search suitable for finding optimal solutions in fewer steps?
COMPREHENSION,The search space in AI can be modeled as a graph where nodes are states and arcs represent transitions.,Why do heuristic algorithms depend on domain knowledge?,How does depth-first search differ from breadth-first search?,How is a search space commonly represented in AI?,What is the drawback of alpha-beta pruning?,How is a search space commonly represented in AI?
APPLICATION,1 2 4 5 3 6 7,How can you apply the concept of Depth-First Search to show the order of node visits in a binary tree?,How can you apply the concept of Breadth-First Search to show the order of node visits in a binary tree?,How can you solve a binary tree using A* Algorithm?,How can you apply the concept of Depth-First Search to show the order of node visits in a different tree?,How can you apply the concept of Depth-First Search to show the order of node visits in a binary tree?
APPLICATION,Since M is the first letter we know to skip all words starting with A through L. Since M is relatively common the algorithm expects to check the M-section earlier than rare letters. Within M you again use lexicographic ordering eventually landing on MANGO.,Suppose we want to search for the word MILK in a dictionary. How can you illustrate the steps of using the Dictionary Search?,How can you apply the A* algorithm in looking for the word MANGO in the dictionary?,Suppose we want to search for the word MANGO in a dictionary. How can you illustrate the steps of using the Dictionary Search?,How can you apply the Depth First Search in looking for the word MANGO in the dictionary?,Suppose we want to search for the word MANGO in a dictionary. How can you illustrate the steps of using the Dictionary Search?
APPLICATION,A B D F G,Using the Best First Search how can you find the path from A to G with given heuristic values?,How can you show heuristic values using the beam search?,How can you apply uniformed search using the path from A to G?,How can you apply Depth-First Search using the path from A to G?,Using the Best First Search how can you find the path from A to G with given heuristic values?
APPLICATION,A B D E C F G,Can you show how to solve a graph using the Depth-First Search?,Can you show how to solve a graph using Binary Trees?,How can you apply constrained hill climbing to this graph?,How can you apply Search with dependency-directed backtracking to this graph?,Can you show how to solve a graph using the Depth-First Search?
APPLICATION,Step 1 Start at S. Step 2 Expand S to children A B C. Step 3 Expand B with lowest cost. Step 4 Expand D. Step 5 Expand G goal reached.,Imagine we are finding the best path from Start to Goal on a simplified graph. How can you apply the Best-First Search?,How can you solve the graph using A* algorithm?,How can you show the steps of applying AND/OR tree algorithm to the graph?,How can you show the steps of applying Breadth First Search to the graph?,Imagine we are finding the best path from Start to Goal on a simplified graph. How can you apply the Best-First Search?
APPLICATION,S B C G with total cost equals 8,Using A* algorithm what is the final path found after solving the graph?,What is the final path when you use random search to solve the graph?,What is the final path when you use dictionary search to solve the graph?,What is the final path when you use alpha beta pruning to solve the graph?,Using A* algorithm what is the final path found after solving the graph?
APPLICATION,It is best to apply this strategy in two-player adversarial games like chess or checkers where both players try to maximize their advantage and minimize the opponents making pathfinding strategies like Best-First or A* insufficient.,How can you apply the Minimax Strategy in game playing?,How can you apply the minimax strategy with alpha-beta cut-offs in game playing?,In what way can you apply the Search strategy in game playing?,How can the minimum strategy be used to apply in playing games?,How can you apply the Minimax Strategy in game playing?
APPLICATION,It is best to apply this strategy in two-player adversarial games with very large search spaces where pruning unnecessary branches helps speed up decision-making without changing the outcome.,In what way can you apply the random search strategy in game playing?,How can you apply the Minimax Strategy in game playing?,How can you apply the minimax strategy with alpha-beta cut-offs in game playing?,How can the minimum strategy be used to apply in playing games?,How can you apply the minimax strategy with alpha-beta cut-offs in game playing?
APPLICATION,The engine would mistakenly choose Move A sacrificing the bishop because it delays the queens loss beyond its search horizon. This appears better within its limited depth search even though it actually leads to a worse outcome.,Suppose you are programming a chess engine that searches only 5 moves ahead. Using the concept of the Horizon Effect which move might the engine mistakenly choose?,Using the concept of the Optimal Move Question which move might the engine mistakenly choose?,Using the concept of the Optimal Move Question with no options which move might the engine choose?,Using the concept of the Alpha Beta Cut Off which move might the engine mistakenly choose?,Suppose you are programming a chess engine that searches only 5 moves ahead. Using the concept of the Horizon Effect which move might the engine mistakenly choose?
APPLICATION,From fever infer check for infection. From cough infer suspect flu. From suspect flu infer recommend lab test. Final Conclusion The system will recommend a lab test.,A patient reports fever and cough. Using Forward Search what conclusion will the system reach?,A patient reports fever and cough. Using Forward Search what conclusion will the system reach with prescribe antibiotics?,A patient reports fever and cough. Using Breadth First Search what conclusion will the system reach?,A patient reports fever and chest pain. Using Forward Search what conclusion will the system reach?,A patient reports fever and cough. Using Forward Search what conclusion will the system reach?
ANALYSIS,Forward search is data-driven starting from the initial state and applying rules step by step while backward search is goal-driven starting from the goal and working backward by creating sub-goals until the goal is achieved.,What is the distinction between a backward search and forward search?,What is the distinction between a backward propagation and forward propagation?,What is the distinction between a backward search and forward propagation?,What is the distinction between a backward propagation and forward search?,What is the distinction between a backward search and forward search?
ANALYSIS,DFS may fail to find the optimal solution because it explores one branch of the tree fully before considering alternatives regardless of path cost or length,Why does Depth-First Search may fail to find the optimal solution in certain problems?,Why does First-Depth Search may fail to find the optimal solution in certain problems?,Why does Binary Search may fail to find the optimal solution in certain problems?,Why does Breadth-First Search may fail to find the optimal solution in certain problems?,Why does Depth-First Search may fail to find the optimal solution in certain problems?
ANALYSIS,Heuristic functions guide informed search by estimating the cost from a state to the goal helping the algorithm prioritize promising paths.,How does heuristic functions influence the efficiency of informed search algorithms?,How does swarm functions influence the efficiency of informed search algorithms?,How does heuristic propagation influence the efficiency of informed search algorithms?,How does hill climbing search method influence the efficiency of informed search algorithms?,How does heuristic functions influence the efficiency of informed search algorithms?
ANALYSIS,Hill climbing struggles with local maxima plateaus and ridges because it relies only on immediate improvements in the evaluation function. This short-sightedness causes it to stop at local peaks wander aimlessly on flat regions or fail to ascend along ridges.,Why does the hill climbing technique struggle with local maxima plateaus and ridges in the search space?,Why does the hill climbing technique struggle with local maxima only?,Why does the hill climbing technique struggle with local maxima and plateaus only?,Why does the hill climbing technique struggle with local maxima plateaus and bridges in the search space?,Why does the hill climbing technique struggle with local maxima plateaus and ridges in the search space?
ANALYSIS,Beam search improves efficiency by restricting exploration to a fixed number of promising states reducing memory and computation. However since only states within the beam width are expanded potentially optimal paths may be discarded early.,How does beam width affect both efficiency and the likelihood of missing the optimal solution?,How does swarm algorithm affect both efficiency and the likelihood of missing the optimal solution?,How does a search algorithm affect both efficiency and the likelihood of missing the optimal solution?,How does heuristic function affect both efficiency and the likelihood of missing the optimal solution?,How does beam width affect both efficiency and the likelihood of missing the optimal solution?
ANALYSIS,Heuristics improve search performance by guiding decision-making on where to search reducing unnecessary exploration. They serve as problem-specific rules that narrow the search process. Since different problem classes require different guidance heuristics are problem-dependent.,What role do heuristics play in improving the performance of search algorithms and why are they considered problem-dependent?,What role do binary search play in improving the performance of search algorithms and why are they considered problem-dependent?,What role do breadth first search play in improving the performance of search algorithms and why are they considered problem-dependent?,What role do beam search play in improving the performance of search algorithms and why are they considered problem-dependent?,What role do heuristics play in improving the performance of search algorithms and why are they considered problem-dependent?
ANALYSIS,Backtracking works by building a solution step by step. If the current path looks wrong it goes back or backtracks to the previous step and tries a different option. This continues until a full correct solution is found or all possible paths have been tested.,How does the backtracking search method use trial-and-error to build and refine partial solutions until a valid complete solution is found?,How does the constrained hill-climbing use trial-and-error to build and refine partial solutions until a valid complete solution is found?,How does the heuristic search method use trial-and-error to build and refine partial solutions until a valid complete solution is found?,How does the linear search method use trial-and-error to build and refine partial solutions until a valid complete solution is found?,How does the backtracking search method use trial-and-error to build and refine partial solutions until a valid complete solution is found?
ANALYSIS,Simulated annealing is more effective than simple local search because it can escape local optima. While local search gets stuck at the first peak it finds simulated annealing sometimes accepts worse moves like taking a step down to explore new areas.,Why is simulated annealing more effective than simple local search methods when searching for a global optimum in large multimodal search spaces?,Why is heuristic more effective than simple local search methods when searching for a global optimum in large multimodal search spaces?,Why is swarm intelligence more effective than simple local search methods when searching for a global optimum in large multimodal search spaces?,Why is forward propagation more effective than simple local search methods when searching for a global optimum in large multimodal search spaces?,Why is simulated annealing more effective than simple local search methods when searching for a global optimum in large multimodal search spaces?
ANALYSIS,In the minimax strategy the maximizer tries to choose moves that maximize their gain while the minimizer chooses moves that minimize the maximizers gain. Their opposite goals create a balance where each players decision directly counters the other.,What is the difference between the roles of the maximizer and the Alpha-Beta Cut Off in the minimax strategy?,Why is the role of maximizer and the Alpha-Beta Cut Off in the minimax strategy important?,What is the difference between the roles of the maximizer and the minimizer in the minimax strategy?,Why is the role of maximizer and the minimizer in the minimax strategy important?,What is the difference between the roles of the maximizer and the minimizer in the minimax strategy?
ANALYSIS,The horizon effect misleads algorithms like minimax or alpha-beta pruning because they can only search a limited depth in the game tree. Important events beyond this depth such as losing a queen remain hidden.,How does the horizon effect mislead game-playing algorithms like minimax or alpha-beta pruning when evaluating positions with limited search depth?,Why does the horizon effect mislead game-playing algorithms like minimax or alpha-beta pruning when evaluating positions with limited search depth?,Why does the horizon effect lead game-playing algorithms like minimax or alpha-beta pruning when evaluating positions with limited search depth?,How does the horizon effect lead game-playing algorithms like minimax or alpha-beta pruning when evaluating positions with limited search depth?,How does the horizon effect mislead game-playing algorithms like minimax or alpha-beta pruning when evaluating positions with limited search depth?
SYNTHESIS,Game playing programs achieve intelligence by integrating two major components into a unified architecture.,How would you design a system that synthesizes a plausible move generator with a static evaluation function generator for optimal game performance?,How would you create a framework combining search algorithms with knowledge representation for game intelligence?,How would you develop an architecture integrating pattern recognition with decision-making processes for game playing?,How would you construct a system merging rule-based reasoning with heuristic evaluation for strategic gameplay?,How would you design a system that synthesizes a plausible move generator with a static evaluation function generator for optimal game performance?
SYNTHESIS,Game trees create comprehensive representations by combining nodes and arcs to model all possible game states.,How would you construct a directed graph where nodes represent game states and arcs represent possible moves by players to create a complete game tree?,How would you develop a hierarchical structure combining decision points with outcome possibilities for strategic analysis?,How would you design a network integrating state transitions with probability assessments for game modeling?,How would you create a framework merging positional evaluations with move sequences for complete game analysis?,How would you construct a directed graph where nodes represent game states and arcs represent possible moves by players to create a complete game tree?
SYNTHESIS,The minimax strategy creates optimal two-player game decisions by integrating maximizer and minimizer objectives.,How would you design an algorithm that combines one player minimizing loss with another player maximizing profit to achieve optimal mixed strategy gameplay?,How would you create a decision framework integrating competitive analysis with cooperative game theory?,How would you develop a system combining risk assessment with reward optimization for strategic planning?,How would you construct an approach merging defensive strategies with offensive tactics for game dominance?,How would you design an algorithm that combines one player minimizing loss with another player maximizing profit to achieve optimal mixed strategy gameplay?
SYNTHESIS,Alpha-beta pruning enhances minimax strategy by synthesizing threshold values with search optimization.,How would you develop a modified search procedure that integrates alpha with beta to create efficient game tree pruning?,How would you create an optimization framework combining branch elimination with depth-limited search for improved performance?,How would you design a system integrating heuristic evaluation with computational efficiency for strategic game analysis?,How would you construct an algorithm merging predictive analysis with resource conservation for optimal gameplay?,How would you develop a modified search procedure that integrates alpha with beta to create efficient game tree pruning?
SYNTHESIS,Game playing demonstrates intelligence by combining three essential aspects into a comprehensive framework.,How would you create a system that synthesizes planning ability with learning capability to demonstrate artificial intelligence in game contexts?,How would you develop a framework integrating pattern recognition with decision optimization for intelligent gameplay?,How would you design an architecture combining computational efficiency with strategic depth for game mastery?,How would you construct a system merging rule comprehension with adaptive behavior for intelligent game participation?,How would you create a system that synthesizes planning ability with learning capability to demonstrate artificial intelligence in game contexts?
SYNTHESIS,A chess-playing program should include a plausible move generator to select only the best moves due to time and computational constraints. It should also have a static evaluation function generator to evaluate the positions at the leaves of the game tree.,How would you design a basic outline for a computer program that plays chess and incorporate the concepts of plausible move generation and static evaluation function?,How would you design a basic outline for a computer program that plays chess and incorporate the concepts of minimax strategy?,How would you design a basic outline for a computer program that plays chess and incorporate the concepts of plausible move generation?,How would you design a basic outline for a computer program that plays chess and incorporate the concepts of alpha-beta pruning?,How would you design a basic outline for a computer program that plays chess and incorporate the concepts of plausible move generation and static evaluation function?
SYNTHESIS,The minimax strategy evaluates possible moves by recursively choosing the best move for the maximizer and minimizer. Alpha-beta pruning enhances minimax by maintaining two bounds to eliminate branches that cannot affect the final decision.,How would you combine the minimax strategy and static evaluation to create a more efficient game-playing algorithm?,How would you combine the minimax strategy and alpha-beta pruning to create a more efficient game-playing algorithm?,How would you combine the minimax strategy and alpha-beta pruning to create a more efficient game-playing algorithm?,How would you combine the minimax strategy and alpha-beta pruning to create a more efficient game-playing algorithm?,How would you combine the minimax strategy and alpha-beta pruning to create a more efficient game-playing algorithm?
