Question,Possible Answers,,,,Correct Answer
There are three abilities that define intelligence according to the composite definition.,"What are Thinking, Feeling, and Acting?","What are Processing, Storing, and Retrieving?","What are Learning, Posing problems, and Solving problems?","What are Analyzing, Synthesizing, and Evaluating?","What are Learning, Posing problems, and Solving problems?"
"There are four branches of emotional intelligence according to Mayer, Salovey, and Caruso.","What are Recognition, Processing, Understanding, and Application?","What are Perception, Integration, Comprehension, and Regulation?","What are Emotional identification/perception/expression, Emotional facilitation of thought, Emotional understanding, and Emotional management?","What are Input, Analysis, Storage, and Output?","What are Emotional identification/perception/expression, Emotional facilitation of thought, Emotional understanding, and Emotional management?"
He coined the term “Artificial Intelligence”,Who is Alan Turing?,Who is John McCarthy?,Who is Marvin Minsky?,Who is Allen Newell?,Who is John McCarthy?
"It is a family of programming languages with a long history and a distinctive, fully parenthesized prefix notation.",What is Language Integrated System Programming?,What is Logic Implementation and System Processing?,What is List Processing?,What is Linear Intelligence System Protocol?,What is List Processing?
There are three main components of a robot.,"What are Processor, Memory, and Storage?","What are Input, Output, and Control?","What are Manipulator, Control unit, and Power source unit?","What are Sensors, Actuators, and Interfaces?","What are Manipulator, Control unit, and Power source unit?"
There are three aspects of intelligence in Robert Sternberg's Triarchic Theory.,"What are Logical, Creative, and Practical?","What are Componential, Experimental, and Contextual?","What are Verbal, Mathematical, and Spatial?","What are Analytical, Synthetic, and Applied?","What are Componential, Experimental, and Contextual?"
They developed the Logic Theorist in 1955.,Who are John McCarthy and Marvin Minsky?,Who are Alan Turing and Claude Shannon?,Who are Newell and Simon?,Who are McCulloch and Pitts?,Who are Newell and Simon?
They developed PROLOG.,Who is John McCarthy?,Who are Alain Colmeraver and P. Rousse?,Who is Allen Newell?,Who is Marvin Minsky?,Who are Alain Colmeraver and P. Rousse?
There is a meaning of robot in Czech.,What is a Worker?,What is a Slave?,What is a Machine?,What is a Helper?,What is a Slave?
"They developed the concept of ""fuzzy"" sets and systems in the 1960s.",Who is John McCarthy?,Who is Marvin Minsky?,Who is Lotfi Zadeh?,Who is Claude Shannon?,Who is Lotfi Zadeh?
