Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer
KNOWLEDGE,This is the first step in Polyas five-step sequence for problem solving.,What is Understand the problem?,What is Develop an algorithm?,What is Test the algorithm?,What is Revise the algorithm?,What is Understand the problem?
KNOWLEDGE,This problem-solving technique involves breaking a problem into smaller more manageable parts.,What is Divide and Conquer?,What is Exhaustive Enumeration?,What is Abduction?,What is Incubation?,What is Divide and Conquer?
KNOWLEDGE,This method of problem representation defines the problem in the form of states and operators that move between them.,What is State Space Representation?,What is Problem Reduction?,What is a Production System?,What is a Semantic Network?,What is State Space Representation?
KNOWLEDGE,In the Water Jug problem the initial state is typically represented by this pair of numbers.,What is (5 3)?,What is (0 1)?,What is (5 0)?,What is (0 0)?,What is (0 0)?
KNOWLEDGE,This is the name for the relationship between a knower like John and a proposition like Mary will come to the party.,What is Logical Entailment?,What is a Propositional Attitude?,What is the Knowledge Representation Hypothesis?,What is Cognitive Penetrability?,What is a Propositional Attitude?
KNOWLEDGE,Brian Smiths hypothesis stating that intelligent processes are comprised of symbolic structures that represent propositions and cause the systems behavior.,What is the Intentional Stance?,What is the Knowledge Representation Hypothesis?,What is Modus Ponens?,What is Procedural Knowledge?,What is the Intentional Stance?
KNOWLEDGE,This type of knowledge is compiled information about how to perform a task often expressed as IF-THEN rules.,What is Declarative Knowledge?,What is Commonsense Knowledge?,What is Procedural Knowledge?,What is Heuristic Knowledge?,What is Procedural Knowledge?
KNOWLEDGE,This knowledge representation scheme uses a pattern of interconnected nodes and arcs to represent objects and their relationships.,What is Conceptual Dependency?,What is a Frame?,What is a Script?,What is a Semantic Network?,What is a Semantic Network?
KNOWLEDGE,This is the name for the organized collection of facts about a systems domain in an expert system.,What is the Explanation Facility?,What is the Inference Engine?,What is the Knowledge Base?,What is the User Interface?,What is the Knowledge Base?
KNOWLEDGE,This early influential expert system from Stanford was designed to diagnose blood infections and recommend antibiotic treatments.,What is DENDRAL?,What is PROSPECTOR?,What is MYCIN?,What is EMYCIN?,What is MYCIN?
COMPREHENSION,An algorithm is computationally intensive involves an exhaustive search and is always 100 percent correct while a heuristic is a rule of thumb that selects promising paths more efficiently but does not guarantee a solution.,How would you compare an algorithm to a heuristic?,How is an algorithm similar to a heuristic?,How would you describe an algorithm?,How would you classify a heuristic?,How would you compare an algorithm to a heuristic?
COMPREHENSION,Forward state space search or progression planning moves in the forward direction from the starting state toward the goal state while backward state space search or regression planning starts from the goal state and works backward.,What are the similarities between forward state space search and backward state space?,What is the difference between forward state space search and backward state space?,How can you describe a forward state space search?,How can you describe a backward state space?,What is the difference between forward state space search and backward state space?
COMPREHENSION,Problem solving consists of moving from a given initial situation to a desired goal situation. It is the process of designing and carrying out a set of steps to reach a goal,How can you describe the term problem?,How can you identify a problem?,How can you describe problem solving?,How can you solve a problem?,How can you describe problem solving?
COMPREHENSION,What is considered a problem is determined by an individuals knowledge skills and experience; a situation that is challenging for one person may be a routine task for another.,How can you define a problem?,How can you solve a problem?,Why is it important to analyze the problem?,Why can the same situation be a problem for a person but not for another person?,Why can the same situation be a problem for a person but not for another person?
COMPREHENSION,Divide and conquer is a problem-solving technique based on the notion of breaking up a Problem into smaller parts,How does greedy approach work?,What are the advantages of using divide and conquer?,How does divide and conquer work?,How does dynamic search work?,How does divide and conquer work?
COMPREHENSION,The Human Window is a region constrained by human memory capabilities and computational limitations,What is being inferred by the human window?,What is being inferred by human?,What is being inferred by Intelligence?,What is being inferred by problem solving?,What is being inferred by the human window?
COMPREHENSION,Knowledge is a relation between a knower and a proposition where the proposition is an idea expressed by a declarative sentence that can be true or false,How would you describe representation?,How would you compare knowledge and representation?,How would you describe reasoning?,How would you describe knowledge?,How would you describe knowledge?
COMPREHENSION,Representation is a relationship where one domain the representor often a symbol stands for or takes the place of another usually more abstract domain.,How would you describe knowledge?,How would you describe representation?,How would you compare knowledge and representation?,How would you describe reasoning?,How would you describe representation?
COMPREHENSION,Reasoning is the formal manipulation of symbols representing propositions to produce new representations.,How would you describe knowledge?,How would you describe representation?,How would you compare knowledge and representation?,How would you describe reasoning?,How would you describe reasoning?
COMPREHENSION,Domain-specific knowledge is specialized knowledge required for a particular task and is acquired through training or study while commonsense knowledge includes all other knowledge that help in reasoning beyond the specific domain,What is the difference between domain-specific knowledge and commonsense knowledge?,What is the difference between knowledge and common sense?,What is the difference between domain knowledge and knowledge?,What is the difference between knowledge and wisdom?,What is the difference between domain-specific knowledge and commonsense knowledge?
APPLICATION,If a carpenters team were given better tools better training and better experience then they would be able to accomplish their task more efficiently and the overall capabilities of the team would improve.,What would be the result if a carpenters team would be provided with better tools better training and better experience?,What would be the result if a carpenters team would be provided only with better tools?,What would be the result if a carpenters team would be provided only with better training?,What would be the result if a carpenters team would be provided only with better experience?,What would be the result if a carpenters team would be provided with better tools better training and better experience?
APPLICATION,First understand the problem certain computers are known to have problems in their power supply. Develop a plan Try to test both power supplies. Implement the plan the plan was executed then testing the plan through a series of implementations.,How would you use POLYAs five steps for problem solving on the issue involving a laptop that keeps dying?,How would you fix a bicycle based on Polyas five steps?,How would you use POLYAs six steps for problem solving on the issue involving a laptop that keeps dying?,How do you solve all computer problems using Polyas five steps?,How would you use POLYAs five steps for problem solving on the issue involving a laptop that keeps dying?
APPLICATION,Tic-tac-toe has a finite number of possible games. Using the problem solving strategy of exhaustive enumeration the possibilities for win draw and loss in tic-tac-toe can fairly easily be determined.,How would you apply the problem solving techniques in solving different possibilities of events in a tic-tac-toe game?,How would you use contradiction in solving different possibilities of events in a tic-tac-toe game?,How would you use divide and conquer in solving different possibilities of events in a tic-tac-toe game?,How would you use induction in solving different possibilities of events in a tic-tac-toe game?,How would you apply the problem solving techniques in solving different possibilities of events in a tic-tac-toe game?
APPLICATION,By applying this problem solving strategy it will be much more manageable to travel to Miami by breaking the trip into four segments of 5 hours each rather than driving 20 hours straight.,What would happen if you use divide and conquer on driving to Miami with an estimated time of 20 hours?,What would happen if you use contradiction on driving to Miami with an estimated time of 20 hours?,What would happen if you use enumeration on driving to Miami with an estimated time of 20 hours?,What would happen if you use induction on driving to Miami with an estimated time of 20 hours?,What would happen if you use divide and conquer on driving to Miami with an estimated time of 20 hours?
APPLICATION,To solve the problem it is ideal to break it down into smaller portions and solve each by applying some specific rules. By adding the results of these individual solutions the complete solutions can be obtained.,Is x squared plus sin of 2x plus cos of 2x dx solvable?,What way would you plan to solve x squared plus sin of 2x plus cos of 2x dx?,How can you relate x squared plus sin of 2x plus cos of 2x dx to problem solving?,Is problem solving applicable to solve x squared plus sin of 2x plus cos of 2x dx?,What way would you plan to solve x squared plus sin of 2x plus cos of 2x dx?
APPLICATION,The initial state is when the water in the pan is in liquid state. When the rule is applied in this case the stove is turned on the state of the water changes. Eventually continuing heating the water undergoes a phase change and reaches the goal state.,How can you define water in the pan using problem reduction?,How can you define a water in the pan using state space representation?,How can you define water in the pan using a production system?,How can you define a water in the pan using contradiction?,How can you define a water in the pan using state space representation?
APPLICATION,One aspect of intelligent behavior is directly connected with knowledge. Various activities and decisions about what to do are based on what humans know about the world effortlessly and unconsciously.,Based on the aspect of human intelligence how do we make decisions?,Based on the aspect of animal intelligence how do they make decisions?,Based on the aspect of artificial intelligence how does it make decisions?,Based on the aspect of machine learning how does it make decisions?,Based on the aspect of human intelligence how do we make decisions?
