Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer
KNOWLEDGE,It is a subset of machine learning that focuses on neural networks and algorithms for training them.,What is Machine Learning?,What is Deep Learning?,What is a Training Model?,What are algorithms?,What is Deep Learning?
KNOWLEDGE,It is a feed forward artificial neural network that consists of at least three layers of nodes: an input layer a hidden layer and an output layer.,What is a multilayer perceptron?,What is backward error propagation?,What is Dropout Rate Hyperparameter?,What is Learning Rate Hyperparameter?,What is a multilayer perceptron?
KNOWLEDGE,These are sort of like knobs and dials whose values are initialized by you prior to the actual training process. For example the number of hidden layers and the number of neurons in hidden layers.,What are hyper parameters?,What is a multilayer perceptron?,What is Dropout Rate Hyperparameter?,What are algorithms?,What are hyper parameters?
KNOWLEDGE,Big data is high-volume -velocity and -variety information assets that demand cost-effective innovative forms of information processing for enhanced insight and decision-making.,What is the definition of Big data according to Laney and colleagues from Gartner?,What is the definition of Big data according to IBM?,What is the definition of Big data according to Ward and Baker?,What is the definition of Big data according to DeMauro et al.?,What is the definition of Big data according to Laney and colleagues from Gartner?
KNOWLEDGE,It is the techniques and methods used for solving various optimization problems especially large-scale ones.,What is metaheuristics?,What is big data?,What is data value?,What is data veracity?,What is metaheuristics?
KNOWLEDGE,It refers to the heart of the knowledge discovery process. It allows the extraction of useful information from large datasets or databases.,What is data mining?,What is supervised classification?,What is unsupervised classification?,What is rule mining?,What is data mining?
KNOWLEDGE,It takes several inputs and performs a weighted summation to produce an output. Its weight is determined during the training process and is based on the training data.,What is an artificial neuron?,What are neural nets?,What is sigmoid?,What is data mining?,What is an artificial neuron?
KNOWLEDGE,It is useful for converting any value to probabilities and can be used for binary classification.,What is sigmoid?,What are neural nets?,What is data mining?,What is rule mining?,What is sigmoid?
KNOWLEDGE,It is a collection of perceptrons and activation functions wherein the perceptrons are connected to form hidden layers or units.,What is Artificial neural network (ANN)?,What is Deep learning?,What are neural nets?,What is big data?,What is Artificial neural network (ANN)?
KNOWLEDGE,These are generally used to describe this phenomenon explain how big data represents the arrival of technologies that allow for a whole new approach to data.,What is the 3Vs model?,What is the deep learning model?,What is the data life cycle?,What is knowledge?,What is the 3Vs model?
COMPREHENSION,Deep learning is a subset of machine learning that focuses on training multi-layered neural networks to automatically learn features from data.,How would you describe the relationship between deep learning and machine learning?,How would you explain the main goal of deep learning?,How would you summarize the process of training a deep neural network?,How would you interpret the difference between shallow and deep learning?,How would you describe the relationship between deep learning and machine learning?
COMPREHENSION,A perceptron performs weighted summation of its inputs and passes the result through an activation function to produce an output.,How would you explain the role of a perceptron in neural network design?,How would you summarize the process of weight adjustment during training?,How would you distinguish between a perceptron and a neuron?,How would you interpret the importance of the activation function in perceptron learning?,How would you explain the role of a perceptron in neural network design?
COMPREHENSION,The ReLU activation function maps negative inputs to zero and allows positive values to pass unchanged improving efficiency and convergence.,How would you summarize the benefit of ReLU in training deep networks?,How would you describe how ReLU differs from sigmoid and tanh?,How would you explain why ReLU helps reduce computation cost?,How would you interpret why ReLU improves learning stability?,How would you summarize the benefit of ReLU in training deep networks?
COMPREHENSION,One-hot encoding represents target classes as binary vectors with a single high (1) value corresponding to the class index.,How would you explain how one-hot encoding works in classification problems?,How would you describe how one-hot encoding supports multi-class prediction?,How would you summarize the process of converting labels to vectors?,How would you interpret the use of one-hot encoding with softmax output?,How would you explain how one-hot encoding works in classification problems?
COMPREHENSION,Dropout regularization prevents overfitting by randomly disabling neurons during training to make the model more robust.,How would you describe the concept of dropout and its purpose?,How would you summarize how dropout improves generalization?,How would you explain the reason dropout is not used during inference?,How would you interpret the relationship between dropout and ensemble learning?,How would you describe the concept of dropout and its purpose?
COMPREHENSION,Gradient descent adjusts model parameters in the opposite direction of the loss gradient to minimize error in predictions.,How would you explain the purpose of gradient descent in optimization?,How would you describe how learning rate affects gradient descent performance?,How would you summarize how gradient descent reaches optimal weights?,How would you interpret the meaning of a cost function in gradient descent?,How would you explain the purpose of gradient descent in optimization?
COMPREHENSION,In deep learning hyperparameters such as learning rate number of layers and activation functions are set before training to guide learning behavior.,How would you explain why hyperparameters are important in deep learning models?,How would you describe how hyperparameters differ from learned parameters?,How would you summarize examples of common hyperparameters?,How would you interpret how tuning hyperparameters affects model accuracy?,How would you explain why hyperparameters are important in deep learning models?
COMPREHENSION,Big data refers to datasets that are too large or complex for traditional data-processing tools often defined by volume velocity and variety.,How would you describe the defining characteristics of big data?,How would you summarize why big data challenges traditional computing?,How would you explain the three Vs of big data?,How would you interpret how big data influences modern analytics?,How would you describe the defining characteristics of big data?
COMPREHENSION,Optimization in big data systems involves finding the most efficient way to process and analyze massive datasets to extract valuable insights.,How would you explain the role of optimization in big data analysis?,How would you describe why optimization is critical for data scalability?,How would you summarize techniques used to improve big data performance?,How would you interpret how optimization enhances machine learning outcomes?,How would you explain the role of optimization in big data analysis?
COMPREHENSION,Deep learning applications in computer vision include classification detection segmentation and generation tasks for images and videos.,How would you describe how deep learning is applied in computer vision?,How would you explain the purpose of segmentation and detection?,How would you summarize why computer vision relies heavily on deep learning?,How would you interpret examples of real-world computer vision applications?,How would you describe how deep learning is applied in computer vision?
APPLICATION,Deep learning comprises many types of neural networks such as CNNs RNNs LSTMs GRUs Variational Autoencoders (VAEs) and GANs.,What examples can you find in deep learning that comprises neural networks?,What examples can you find in machine learning that comprises neural networks?,What examples can you find in training that comprises neural networks?,What examples can you find in artificial intelligence that comprises neural networks?,What examples can you find in deep learning that comprises neural networks?
APPLICATION,It can be used backpropagation to update the weights of the edges between consecutive layers from right to left starting at the output layer and moving toward the input layer. The updates are computed using the chain rule combining parameters and gradient values to minimize error.,How would you use the concept of backpropagation to adjust the weights in a neural network with multiple hidden layers?,How would you use the concept of forward propagation to adjust the weights in a neural network with multiple hidden layers?,How would you use the concept of side propagation to adjust the weights in a neural network with multiple hidden layers?,How would you use the concept of propagation algorithms to adjust the weights in a neural network with multiple hidden layers?,How would you use the concept of backpropagation to adjust the weights in a neural network with multiple hidden layers?
APPLICATION,MLP can be used by feeding the data into the input layer allowing it to pass through the hidden layer with nonlinear activation functions and then obtaining the result from the output layer.,How would you use an MLP to process input data?,Why would you use an MLP to process input data?,How would you use backward error propagation to process input data?,How would you use forward error propagation to process input data?,How would you use an MLP to process input data?
APPLICATION,The perceptron would not learn from the examples and would fail to correctly perform the classification task.,What would result if the weights of the perceptron were not adjusted during training?,What would result if the weights of the perceptron were adjusted during training?,What would result if the weights of the perceptron remain consistent during training?,What would result if the layers of the perceptron were adjusted during training?,What would result if the weights of the perceptron were not adjusted during training?
APPLICATION,It can be done by performing a weighted addition of the inputs with biases and then passing these through hidden layers of perceptrons and activation functions to produce the output.,How would you use an artificial neural network to map inputs to outputs?,How would you use deep learning to map inputs to outputs?,How would you use a multi-layer perceptron to map inputs to outputs?,How would you use an artificial neural network to map inputs to outputs?,How would you use an artificial neural network to map inputs to outputs?
APPLICATION,Gradient descent is used in many machine-learning models and is also popular in neural networks.,What examples can you find that show where gradient descent is applied?,What examples can you find that show where back propagation is applied?,What examples can you find that show where L1 and L2 regularization is applied?,What examples can you find that show where one-hot encoding is applied?,What examples can you find that show where gradient descent is applied?
